timestamp TimeMS Roll Pitch Yaw VN VE VD PN PE PD GX GY GZ
27.536 27536 1108 2055 6540 4.71 11.12 -4.00 6.03 37.08 -9.39 164 419 -38
27.556 27556 1140 2060 6547 4.73 11.15 -4.03 6.14 37.30 -9.48 163 420 -39
27.576 27576 1172 2097 6568 4.72 11.18 -4.02 6.24 37.52 -9.57 161 419 -39
27.596 27596 1242 2107 6631 4.68 11.21 -4.03 6.34 37.74 -9.67 161 419 -39
27.616 27616 1280 2088 6681 4.64 11.20 -4.06 6.44 37.96 -9.76 161 419 -39
27.636 27636 1294 2078 6722 4.62 11.21 -4.08 6.54 38.18 -9.84 160 418 -37
27.656 27656 1293 2087 6758 4.61 11.24 -4.10 6.64 38.40 -9.93 159 418 -38
27.676 27676 1269 2104 6787 4.62 11.28 -4.11 6.74 38.62 -10.01 158 418 -38
27.696 27696 1293 2124 6806 4.62 11.29 -4.11 6.84 38.84 -10.09 158 418 -38
27.716 27716 1337 2129 6844 4.62 11.30 -4.15 6.94 39.07 -10.18 158 418 -38
27.736 27736 1339 2147 6904 4.61 11.34 -4.21 7.04 39.29 -10.30 213 387 -15
27.756 27756 1379 2187 6947 4.60 11.39 -4.26 7.14 39.52 -10.43 213 387 -16
27.776 27776 1421 2226 7006 4.59 11.41 -4.32 7.24 39.74 -10.56 212 387 -16
27.797 27797 1421 2270 7036 4.55 11.44 -4.38 7.34 39.97 -10.70 212 387 -16
27.817 27817 1420 2291 7019 4.51 11.45 -4.44 7.44 40.19 -10.83 212 387 -16
27.837 27837 1425 2266 7028 4.50 11.48 -4.47 7.54 40.42 -10.90 215 387 -17
27.857 27857 1424 2237 7071 4.49 11.51 -4.48 7.64 40.65 -10.97 214 387 -18
27.877 27877 1461 2242 7116 4.47 11.54 -4.47 7.74 40.87 -11.05 213 387 -17
27.897 27897 1506 2252 7160 4.45 11.57 -4.49 7.84 41.10 -11.12 212 387 -17
27.917 27917 1547 2258 7205 4.45 11.59 -4.53 7.94 41.33 -11.19 212 387 -17
27.937 27937 1564 2275 7262 4.45 11.61 -4.60 8.04 41.56 -11.34 272 355 10
27.957 27957 1571 2286 7318 4.43 11.60 -4.68 8.14 41.79 -11.49 271 356 8
27.977 27977 1608 2309 7372 4.40 11.61 -4.73 8.24 42.02 -11.64 269 355 9
27.997 27997 1613 2328 7389 4.40 11.63 -4.79 8.34 42.24 -11.79 269 355 9
28.017 28017 1607 2342 7399 4.38 11.64 -4.84 8.43 42.47 -11.94 269 355 9
28.038 28038 1649 2352 7450 4.33 11.67 -4.87 8.53 42.70 -12.07 261 349 19
28.058 28058 1676 2363 7504 4.28 11.70 -4.91 8.63 42.93 -12.20 260 349 18
28.078 28078 1671 2389 7525 4.23 11.70 -4.91 8.72 43.16 -12.33 259 348 18
28.098 28098 1692 2394 7542 4.17 11.72 -4.93 8.82 43.39 -12.46 258 348 19
28.118 28118 1728 2386 7570 4.12 11.71 -4.98 8.91 43.63 -12.59 258 348 19
28.138 28138 1756 2416 7605 4.11 11.71 -4.99 9.00 43.86 -12.65 336 327 21
28.158 28158 1787 2437 7669 4.10 11.73 -4.97 9.10 44.09 -12.71 335 327 21
28.179 28179 1786 2468 7719 4.06 11.75 -4.95 9.19 44.32 -12.77 333 326 21
28.198 28198 1750 2511 7743 3.99 11.72 -4.95 9.28 44.55 -12.82 332 326 22
28.218 28218 1722 2514 7772 3.94 11.73 -4.96 9.37 44.78 -12.88 332 326 22
28.239 28239 1696 2505 7795 3.89 11.74 -5.01 9.46 45.01 -13.02 324 319 32
28.259 28259 1676 2503 7800 3.83 11.72 -5.06 9.55 45.24 -13.17 324 319 32
28.279 28279 1654 2528 7827 3.78 11.72 -5.11 9.63 45.47 -13.31 324 319 32
28.299 28299 1645 2552 7863 3.73 11.72 -5.18 9.72 45.70 -13.46 323 319 33
28.319 28319 1696 2578 7914 3.68 11.71 -5.25 9.80 45.93 -13.61 323 319 33
28.339 28339 1741 2621 7960 3.66 11.70 -5.27 9.88 46.16 -13.69 388 308 33
28.359 28359 1771 2626 8004 3.64 11.66 -5.30 9.97 46.39 -13.77 387 308 33
28.380 28380 1787 2640 8053 3.59 11.67 -5.30 10.05 46.63 -13.85 386 307 33
28.399 28399 1786 2704 8066 3.53 11.67 -5.31 10.13 46.86 -13.93 384 307 34
28.419 28419 1748 2739 8079 3.48 11.65 -5.33 10.21 47.09 -14.01 384 307 34
28.440 28440 1706 2749 8109 3.44 11.64 -5.34 10.29 47.32 -14.14 381 303 41
28.460 28460 1684 2781 8116 3.39 11.63 -5.34 10.36 47.55 -14.27 381 303 41
28.480 28480 1672 2811 8136 3.32 11.61 -5.35 10.44 47.78 -14.40 380 302 41
28.500 28500 1647 2811 8184 3.28 11.59 -5.35 10.51 48.01 -14.53 379 302 42
28.520 28520 1607 2809 8217 3.24 11.58 -5.33 10.59 48.24 -14.65 379 302 42
