timestamp TimeMS IVN IVE IVD IPN IPE IPD IMX IMY IMZ IVT
27.550 27550 -1 6 0 0 4 -243 11 9 14 0
27.570 27570 -1 6 0 0 4 -243 11 2 14 0
27.590 27590 -1 6 0 0 4 -243 11 2 16 0
27.611 27611 -1 6 0 0 4 -243 11 2 16 0
27.631 27631 -1 6 0 0 4 -243 11 2 16 0
27.651 27651 -1 6 0 0 4 -97 0 2 16 0
27.671 27671 -1 6 0 0 4 -97 0 -2 16 0
27.691 27691 -1 6 0 0 4 -97 0 -2 17 0
27.711 27711 -1 6 0 0 4 -97 0 -2 17 0
27.731 27731 -1 6 0 0 4 -97 0 -2 17 0
27.751 27751 -1 6 0 0 4 322 7 -2 17 0
27.771 27771 -1 6 0 0 4 322 7 12 17 0
27.791 27791 -1 6 0 0 4 322 7 12 12 0
27.811 27811 -1 6 0 0 4 322 7 12 12 0
27.831 27831 -1 6 0 0 4 322 7 12 12 0
27.852 27852 -1 6 0 0 4 -110 -2 12 12 0
27.872 27872 -1 6 0 0 4 -110 -2 -4 12 0
27.892 27892 -1 6 0 0 4 -110 -2 -4 11 0
27.912 27912 -1 6 0 0 4 -110 -2 -4 11 0
27.932 27932 -1 6 0 0 4 -110 -2 -4 11 0
27.952 27952 -1 6 0 0 4 21 -4 -4 11 0
27.972 27972 -1 6 0 0 4 21 -4 0 11 0
27.992 27992 -1 6 0 0 4 21 -4 0 14 0
28.012 28012 -1 6 0 0 4 21 -4 0 14 0
28.032 28032 -1 6 0 0 4 21 -4 0 14 0
28.053 28053 -1 6 0 0 4 -93 8 0 14 0
28.072 28072 -1 6 0 0 4 -93 8 11 14 0
28.092 28092 -1 6 0 0 4 -93 8 11 12 0
28.113 28113 -1 6 0 0 4 -93 8 11 12 0
28.133 28133 -1 6 0 0 4 -93 8 11 12 0
28.153 28153 -1 6 0 0 4 217 -2 11 12 0
28.173 28173 -1 6 0 0 4 217 -2 9 12 0
28.193 28193 -1 6 0 0 4 217 -2 9 14 0
28.213 28213 -1 6 0 0 4 217 -2 9 14 0
28.233 28233 -1 6 0 0 4 217 -2 9 14 0
28.253 28253 -1 6 0 0 4 -317 0 9 14 0
28.273 28273 -1 6 0 0 4 -317 0 0 14 0
28.293 28293 -1 6 0 0 4 -317 0 0 2 0
28.313 28313 -1 6 0 0 4 -317 0 0 2 0
28.334 28334 -1 6 0 0 4 -317 0 0 2 0
28.354 28354 -1 6 0 0 4 187 8 0 2 0
28.374 28374 -1 6 0 0 4 187 8 -4 2 0
28.394 28394 -1 6 0 0 4 187 8 -4 15 0
28.414 28414 -1 6 0 0 4 187 8 -4 15 0
28.434 28434 -1 6 0 0 4 187 8 -4 15 0
28.454 28454 -1 6 0 0 4 -177 6 -4 15 0
28.474 28474 -1 6 0 0 4 -177 6 -5 15 0
28.494 28494 -1 6 0 0 4 -177 6 -5 15 0
28.514 28514 -1 6 0 0 4 -177 6 -5 15 0
28.534 28534 -1 6 0 0 4 -177 6 -5 15 0
28.554 28554 -1 6 0 0 4 90 -3 -5 15 0
28.574 28574 -1 6 0 0 4 90 -3 -1 15 0
28.595 28595 -1 6 0 0 4 90 -3 -1 6 0
28.615 28615 -1 6 0 0 4 90 -3 -1 6 0
28.635 28635 -1 6 0 0 4 90 -3 -1 6 0
