timestamp TimeMS SV SP SH SMX SMY SMZ SVT OFN EFE FS DS
27.550 27550 2 0 23 7 6 9 0 0 0 0 0
27.570 27570 2 0 23 7 1 9 0 0 0 0 0
27.590 27590 2 0 23 7 1 10 0 0 0 0 0
27.611 27611 2 0 23 7 1 10 0 0 0 0 0
27.631 27631 2 0 23 7 1 10 0 0 0 0 0
27.651 27651 2 0 9 0 1 10 0 0 0 0 0
27.671 27671 2 0 9 0 1 10 0 0 0 0 0
27.691 27691 2 0 9 0 1 11 0 0 0 0 0
27.711 27711 2 0 9 0 1 11 0 0 0 0 0
27.731 27731 2 0 9 0 1 11 0 0 0 0 0
27.751 27751 2 0 30 4 1 11 0 0 0 0 0
27.771 27771 2 0 30 4 8 11 0 0 0 0 0
27.791 27791 2 0 30 4 8 8 0 0 0 0 0
27.811 27811 2 0 30 4 8 8 0 0 0 0 0
27.831 27831 2 0 30 4 8 8 0 0 0 0 0
27.852 27852 2 0 10 1 8 8 0 0 0 0 0
27.872 27872 2 0 10 1 2 8 0 0 0 0 0
27.892 27892 2 0 10 1 2 7 0 0 0 0 0
27.912 27912 2 0 10 1 2 7 0 0 0 0 0
27.932 27932 2 0 10 1 2 7 0 0 0 0 0
27.952 27952 2 0 2 3 2 7 0 0 0 0 0
27.972 27972 2 0 2 3 0 7 0 0 0 0 0
27.992 27992 2 0 2 3 0 9 0 0 0 0 0
28.012 28012 2 0 2 3 0 9 0 0 0 0 0
28.032 28032 2 0 2 3 0 9 0 0 0 0 0
28.053 28053 2 0 8 5 0 9 0 0 0 0 0
28.072 28072 2 0 8 5 7 9 0 0 0 0 0
28.092 28092 2 0 8 5 7 8 0 0 0 0 0
28.113 28113 2 0 8 5 7 8 0 0 0 0 0
28.133 28133 2 0 8 5 7 8 0 0 0 0 0
28.153 28153 2 0 20 1 7 8 0 0 0 0 0
28.173 28173 2 0 20 1 6 8 0 0 0 0 0
28.193 28193 2 0 20 1 6 9 0 0 0 0 0
28.213 28213 2 0 20 1 6 9 0 0 0 0 0
28.233 28233 2 0 20 1 6 9 0 0 0 0 0
28.253 28253 2 0 30 0 6 9 0 0 0 0 0
28.273 28273 2 0 30 0 0 9 0 0 0 0 0
28.293 28293 2 0 30 0 0 1 0 0 0 0 0
28.313 28313 2 0 30 0 0 1 0 0 0 0 0
28.334 28334 2 0 30 0 0 1 0 0 0 0 0
28.354 28354 2 0 17 5 0 1 0 0 0 0 0
28.374 28374 2 0 17 5 3 1 0 0 0 0 0
28.394 28394 2 0 17 5 3 10 0 0 0 0 0
28.414 28414 2 0 17 5 3 10 0 0 0 0 0
28.434 28434 2 0 17 5 3 10 0 0 0 0 0
28.454 28454 2 0 16 4 3 10 0 0 0 0 0
28.474 28474 2 0 16 4 3 10 0 0 0 0 0
28.494 28494 2 0 16 4 3 10 0 0 0 0 0
28.514 28514 2 0 16 4 3 10 0 0 0 0 0
28.534 28534 2 0 16 4 3 10 0 0 0 0 0
28.554 28554 2 0 8 2 3 10 0 0 0 0 0
28.574 28574 2 0 8 2 1 10 0 0 0 0 0
28.595 28595 2 0 8 2 1 4 0 0 0 0 0
28.615 28615 2 0 8 2 1 4 0 0 0 0 0
28.635 28635 2 0 8 2 1 4 0 0 0 0 0
28.655 28655 2 0 17 1 1 4 0 0 0 0 0
28.675 28675 2 0 17 1 3 4 0 0 0 0 0
28.695 28695 2 0 17 1 3 2 0 0 0 0 0
28.715 28715 2 0 17 1 3 2 0 0 0 0 0
28.735 28735 2 0 17 1 3 2 0 0 0 0 0
28.755 28755 2 0 18 6 3 2 0 0 0 0 0
28.776 28776 2 0 18 6 0 2 0 0 0 0 0
28.796 28796 2 0 18 6 0 2 0 0 0 0 0
28.816 28816 2 0 18 6 0 2 0 0 0 0 0
